,주유소 이름,주소,Latitude,Longitude,휘발유 가격
305,해양특구주유소,부산 영도구 해양로 270,35.0841207,129.0769752,1692
306,태종대온천주유소,부산 영도구 태종로 806-1,35.0645758,129.0806143,1697
307,세기상사㈜ 대성주유소,부산 영도구 해양로 128 (청학동),35.0939563,129.0623678,1698
308,SK에너지(주)직영 태종로주유소,부산 영도구 태종로 290 (청학동),35.0960642,129.0596663,1698
309,태종에너지청학주유소,부산 영도구 태종로 376 (청학동),35.0914605,129.0613241,1698
310,남항주유소,부산 영도구 남항서로 96(남항동2가),35.0890253,129.0364668,1833
311,(주)나부코직영 우원주유소,부산 영도구 태종로 181 (봉래동4가),35.0912922,129.0493362,1848
312,고려주유소,부산 중구 대청로 153 (중앙동5가),35.1021845,129.0371679,1695
313,오시리아주유소,부산 해운대구 해운대로 1226 (송정동),35.1943669,129.2055627,1519
314,㈜영원석유 하늘주유소,부산 해운대구 해운대로 1184,35.1904693,129.2045115,1519
315,송정역주유소,부산 해운대구 해운대로 1217,35.1935674,129.2048498,1519
316,삼양주유소,부산 해운대구 해운대로 1249 (송정동),35.1829714,129.2004548,1519
317,㈜영원석유 영원주유소,부산 해운대구 해운대로 1178,35.1899723,129.2042809,1519
318,한양 브라보주유소,부산 해운대구 해운대로 1238 (송정동),35.1951875,129.2058563,1535
319,(주)조은하루주유소,부산 해운대구 해운대로 551 (우동),35.1605466,129.152127,1554
320,동방석유㈜ 직영 해변주유소,부산 해운대구 해운대로 592 (우동),35.1643347,129.1604455,1554
321,대양산업(주)동화주유소,부산 해운대구 해운대로 211 (재송동),35.1885618,129.1217565,1554
322,반송제일주유소,부산 해운대구 반송로 780,35.2230629,129.145842,1562
323,동부산셀프주유소,부산 해운대구 반송로 875 (반송동),35.2305892,129.1500288,1562
324,구도일주유소 센텀시티,부산 해운대구 해운대로 285 (우동),35.1752588,129.131513,1569
325,양천석유(주)덕진셀프주유소반송점,부산 해운대구 반송로 782,35.223445,129.1459703,1574
326,지에스칼텍스(주)해운주유소,부산 해운대구 해운대로 615 (우동),35.1634379,129.1579275,1574
327,광신석유(주)직영 수영강변대로주유소,부산 해운대구 수영강변대로 568,35.2081118,129.1215364,1584
328,지에스칼텍스(주)광안대로주유소,부산 해운대구 수영강변대로 590,35.2102212,129.1219776,1584
329,sc(주)센텀주유소,부산광역시 해운대구  수영강변대로 504 (반여동),35.2028917,129.1187658,1584
330,신촌셀프주유소,부산 해운대구 반여로 153 (반여동),35.2050231,129.1253632,1584
331,(주)이엠석유 대흥주유소,부산 해운대구 좌동순환로 419 (중동),35.161658,129.17505,1594
332,동해주유소,부산 해운대구 재반로 163 (재송동),35.1926935,129.1284012,1594
333,(주)대양씨앤씨 달맞이주유소,부산 해운대구 달맞이길 57 (중동),35.1606604,129.1735137,1594
334,HD현대오일뱅크㈜직영 센텀셀프주유소,부산 해운대구 해운대로 179 (재송동),35.1927672,129.1227133,1594
335,SK에너지(주)신도시주유소,부산 해운대구 대천로 82 (좌동),35.1735693,129.1717131,1598
336,SK에너지(주) 돌고래주유소,부산 해운대구 해운대로573번길 16,35.1616799,129.1546533,1598
337,SK에너지㈜직영 송정셀프주유소,부산 해운대구 해운대로 1075,35.1818052,129.1993677,1598
338,SK에너지(주) 마리나주유소,부산 해운대구 해운대로 345 (우동),35.1706011,129.1560231,1598
339,해운대주유소,부산 해운대구 좌동순환로 375,35.1632033,129.1795014,1633
340,HD현대오일뱅크㈜직영 장산IC주유소,부산 해운대구 양운로 107 (좌동),35.1723045,129.173541,1649
341,SK에너지(주)직영 해운대센텀주유소,부산 해운대구 수영강변대로 276,35.183528,129.1191203,1649
342,에스씨(주) 마리나타운주유소,부산 해운대구 해운대해변로 44 (우동),35.1630767,129.1380328,1698
343,동양가스(주) 명품주유소반송점,부산 해운대구 반송로 781 (석대동),35.2233834,129.1454026,1709
