,주유소 이름,주소,Latitude,Longitude,휘발유 가격
69,기장대로 셀프주유소 와이케이에너지㈜,부산 기장군 기장읍 기장대로 343,35.2263198,129.2141277,1519
70,신아시아드주유소/충전소 은마석유㈜,부산광역시 기장군 일광면 기장대로 996,35.2822764,129.2334711,1519
71,내리주유소,부산 기장군 기장읍 기장대로 84,35.204816,129.2067475,1529
72,월드컵주유소,부산 기장군 일광면 기장대로 1230,35.3030144,129.2391247,1539
73,세방주유소,부산 기장군 일광면 기장대로 1195,35.2997494,129.2377263,1549
74,기장IC주유소,부산 기장군 일광면 기장대로 670,35.2542181,129.2232983,1565
75,선암주유소,부산 기장군 장안읍 기장대로 1453,35.3217718,129.2415624,1565
76,(주)동광주유소,부산 기장군 기장읍 차성로 241,35.239102,129.2131815,1565
77,부경셀프주유소,부산 기장군 기장읍 반송로 1407,35.2544571,129.1959703,1565
78,삼성셀프주유소,부산 기장군 일광면 기장대로 677,35.2552462,129.2230157,1565
79,공단신도시주유소,부산 기장군 정관면 정관로 835,35.3249049,129.2033687,1565
80,용문주유소,부산 기장군 일광면 기장대로 710,35.2576099,129.225618,1565
81,하영주유소,부산 기장군 기장읍 반송로 1517,35.2517331,129.2076995,1565
82,국제주유소,부산 기장군 일광면 기장대로 1291,35.3082071,129.2403256,1569
83,삼거리주유소,부산 기장군 기장읍 반송로 1653,35.2514415,129.2189303,1569
84,대영주유소,부산 기장군 정관면 정관로 249,35.3447601,129.1594281,1578
85,(주)천일에너지 천일주유소,부산 기장군 신정관로 183,35.3289052,129.2021088,1580
86,백운1주유소,부산 기장군 정관면 정관로 779,35.323581,129.1977344,1580
87,㈜첼시주유소,부산 기장군 장안읍 정관로 1148,35.3207773,129.2362466,1580
88,의학원self주유소,부산 기장군 장안읍 좌동길 47,35.3214853,129.2420427,1580
89,정관신도시주유소/충전소,부산 기장군 정관면 정관로 901,35.3246244,129.2104979,1580
90,달음산주유소,부산 기장군 장안읍 정관로 1115,35.3222947,129.2330157,1580
91,기분조은주유소,부산 기장군 정관면 정관로 787,35.3235495,129.1984631,1580
92,동부산농협클린주유소,부산 기장군 일광면 기장대로 1037,35.2862489,129.2332836,1584
93,뉴장안IC주유소,부산 기장군 장안읍 좌동길 45,35.3212456,129.2419696,1585
94,오성주유소,부산 기장군 일광면 일광로 722,35.3061576,129.2568217,1593
95,(주)동남주유소,부산 기장군 철마면 반송로 983,35.2361427,129.1592753,1598
96,장안IC(상)주유소,부산 기장군 장안읍 기장대로 1586,35.3324999,129.2476659,1598
97,안평주유소,부산 기장군 철마면 반송로 1300,35.2483619,129.1873228,1598
98,태양주유소,부산 기장군 기장읍 대변로 13,35.2348341,129.218858,1617
99,(주)푸른숲self주유소,부산 기장군 장안읍 기장대로 1751,35.3458601,129.2517726,1618
100,창암주유소,부산 기장군 정관면 신정관로 188,35.3294648,129.2013424,1625
101,(주)더힘찬주유소,부산 기장군 장안읍 기장대로 1673,35.3402687,129.2480429,1627
102,장안IC(하)주유소,부산 기장군 장안읍 기장대로 1615,35.3350449,129.2469511,1628
103,명례주유소,부산 기장군 장안읍 기장대로 2217,35.3847776,129.2554077,1628
104,솔밭주유소,부산 기장군 장안읍 하근3길 8,35.3513882,129.2551035,1635
105,KH에너지㈜직영 장안주유소(울산방향),부산 기장군 장안읍 동해고속도로 26,35.3817548,129.2484978,1638
106,KH에너지㈜직영 장안주유소(부산방향),부산 기장군 장안읍 동해고속도로 25,35.3771167,129.2468056,1638
107,공단주유소,부산 기장군 정관면 정관로 833,35.324637,129.2029852,1648
108,동양주유소/기장충전소,부산 기장군 기장읍 기장대로 530,35.2423658,129.2207461,1659
109,월드주유소,부산 기장군 기장읍 반송로 1559,35.2485158,129.2102454,1664
110,(주)SK정관주유소,부산 기장군 정관면 정관덕산길 21,35.3233017,129.182358,1799
111,기장수협주유소,부산 기장군 기장읍 기장해안로 426,35.2129767,129.2218126,1799
112,사랑드림주유소,부산 남구 황령대로 343,35.1473815,129.0957109,1563
113,내트럭(주)부산용당,부산 남구 신선로 261,35.1120624,129.0936648,1563
114,내트럭(주)부산사업소,부산 남구 신선로 168,35.1099927,129.0815001,1563
115,대일주유소,부산 남구 황령대로 401-2 (대연동),35.1442645,129.1010766,1563
116,(주)경인석유,부산 남구 신선로 448,35.124789,129.1004606,1568
