주유소 이름,주소,휘발유 가격
(주)더힘찬주유소,부산 기장군 장안읍 기장대로 1673,1627
장안IC(하)주유소,부산 기장군 장안읍 기장대로 1615,1628
명례주유소,부산 기장군 장안읍 기장대로 2217,1628
솔밭주유소,부산 기장군 장안읍 하근3길 8,1635
KH에너지㈜직영 장안주유소(울산방향),부산 기장군 장안읍 동해고속도로 26,1638
KH에너지㈜직영 장안주유소(부산방향),부산 기장군 장안읍 동해고속도로 25,1638
공단주유소,부산 기장군 정관면 정관로 833,1648
동양주유소/기장충전소,부산 기장군 기장읍 기장대로 530,1659
월드주유소,부산 기장군 기장읍 반송로 1559,1664
(주)SK정관주유소,부산 기장군 정관면 정관덕산길 21,1799
기장수협주유소,부산 기장군 기장읍 기장해안로 426,1799
사랑드림주유소,부산 남구 황령대로 343,1563
내트럭(주)부산용당,부산 남구 신선로 261,1563
내트럭(주)부산사업소,부산 남구 신선로 168,1563
대일주유소,부산 남구 황령대로 401-2 (대연동),1563
(주)경인석유,부산 남구 신선로 448,1568
은마석유㈜ 용당CY주유소,부산 남구 신선로 392,1573
은마석유주식회사,부산 남구 신선로 351 (용당동),1573
(주)세일 부산항주유소,부산 남구 신선로 387 (용당동),1573
금강석유(주) 영웅주유소,부산 남구 황령대로 346 (대연동),1573
우암주유소,부산 남구 우암로 204,1573
우암로셀프주유소,부산 남구 우암로 232,1573
북항대교주유소,부산 남구  신선로 316 (용당동),1573
(주)문화주유소,부산 남구 유엔로 155,1579
매일주유소,부산 남구 수영로 22 (문현동),1588
성지셀프주유소,부산 남구 유엔로 42,1594
분포셀프주유소,부산 남구 용호로 116,1595
반도주유소,부산 남구 신선로 442 (용당동),1597
문현주유소,부산 남구 우암로 374 (문현동),1598
지에스칼텍스㈜ 비치주유소,부산 남구 용호로 60 (용호동),1599
지에스칼텍스㈜ 유엔주유소,부산 남구 유엔로 202,1599
한길주유소 용당점 한솔유화㈜,부산 남구 신선로 252,1609
삼화주유소,부산 남구 우암로 92 (감만동),1615
구도일주유소용호,부산 남구 용호로 172 (용호동),1619
동명주유소,부산 남구 남구 전포대로 7,1628
금융단지주유소,부산 남구 황령대로98번길 75 (문현동),1628
대성주유소,부산광역시 남구 문현로 67 (문현동),1719
인터지스(주)인터지스주유소,부산 남구 신선로 173 (감만동),1739
부산벙커앤오일 청구주유소,부산 동구 충장대로 281 (좌천동),1580
CJ대한통운㈜ 부산주유소,부산 동구 충장대로 305 (좌천동),1580
(주)대양씨앤씨직영주유소,부산 동구 성남로 74 (범일동),1583
동방석유(주)초량주유소,부산 동구  중앙대로 302 (초량동),1585
구도일주유소 부산진,부산 동구 중앙대로 414 (좌천동),1585
대양대박주유소,부산 동구 성남로 42 (좌천동),1603
동방석유(주)형제주유소,부산광역시 동구  자성로 127 (범일2동),1618
㈜삼현석유 천일주유소,부산 동구 중앙대로 168 (초량동),1998
광신석유(주)직영 충렬대로주유소,부산 동래구 충렬대로 95,1489
㈜OS에너지 동호주유소,부산 동래구 반송로 245,1499
동방석유(주)푸른주유소,부산 동래구 충렬대로 121 (온천동),1499
대일주유소,부산 동래구 충렬대로 124,1499
명장주유소,부산 동래구 반송로 303 (명장동),1499
(주)삼보명진주유소,부산 동래구 충렬대로 51 (온천동),1549
한창주유소,부산 동래구 우장춘로 56,1569
한길주유소 교대점 한솔유화㈜,부산 동래구 여고로 131 (사직동),1588
(주)대원에너지 대원주유소,부산 동래구 충렬대로 460  (안락동),1593
대경주유소,부산 동래구 반송로 185 (안락동),1597
온천주유소,부산 동래구 명륜로 2,1598
안락교차로주유소,부산 동래구 충렬대로 330 (안락동),1638
보강주유소,부산 동래구  충렬대로 400 (안락동),1638
한양주유소,부산 동래구  충렬대로 300 (낙민동),1646
대원주유소,부산 동래구 미남로 38,1668
충렬주유소,부산 동래구 충렬대로 463,1668
(주)태화주유소,부산 부산진구 가야대로 402,1559
대양주유소,부산 부산진구 새싹로 61-1 (부암동),1563
(주)주공에너지,부산 부산진구 백양대로 231,1569
진성주유소,부산 부산진구 백양대로 242,1569
동방석유(주)황령산주유소,부산 부산진구 황령대로 66 (전포동),1573
스마일주유소,부산 부산진구 동평로 49,1578
남부산고속주유소,부산 부산진구 거제대로 84 (양정동),1579
가야주유소,부산 부산진구 가야대로552번길 39,1579
영우에너지 부전주유소,부산 부산진구 신천대로 132,1583
지에스칼텍스㈜케이제이주유소,부산광역시 부산진구  전포대로 178 (전포제3동),1589
동방석유(주)sk전포주유소,부산 부산진구 동천로 10 (전포동),1598
(주)우양네트웍스 하마정주유소,부산 부산진구 동평로 398,1599
광신석유(주)직영 양정주유소,부산 부산진구 동평로 361 (양정동),1624
SK에너지(주) 연지오토self,부산 부산진구 동평로 239 (연지동),1624
백양주유소,부산 부산진구  백양대로 234 (개금동),1659
명품주유소 당감점,부산 부산진구 백양대로 78 (당감동),1689
럭키주유소,부산 부산진구 새싹로 230,1698
지에스칼텍스㈜ 성지주유소,부산 부산진구 동평로 289 (연지동),1699
한일주유소,부산 부산진구 백양순환로110번길 19 (부암동),1699
대흥주유소,부산 부산진구 동평로 21,1728
대명주유소,부산 부산진구 가야대로 523 (가야동),1838
삼보주유소/충전소,부산 북구 만덕대로 331 (만덕동),1549
(주)삼보부림SELF주유소,부산 북구 만덕대로 343 (만덕동),1549
광신석유(주)직영 백양대로주유소,부산 북구 백양대로 995 (구포동),1559
경덕주유소,부산 북구 시랑로 58 (구포동),1565
금곡대로주유소,부산 북구 금곡대로 712 (금곡동),1569
화명신도시주유소,부산 북구 금곡대로 203,1579
북부산셀프주유소,부산 북구 금곡대로 37,1579
(주)세일 금곡주유소,부산 북구 금곡대로 604 (금곡동),1579
지에스칼텍스(주)구포셀프주유소,부산 북구 사상로 619 (구포동),1589
만복드림주유소,부산 북구 만덕대로 170,1599
성도주유소,부산 북구 낙동대로 1642,1616
SK에너지(주)두꺼비,부산 북구 금곡대로 362,1649
SK에너지㈜직영 삼진셀프주유소,부산 북구 의성로53번길 5,1649
무지개주유소,부산 북구 금곡대로 692,1669
동양가스산업(주)명품주유소,부산 북구 금곡대로 113 (덕천동),1689
SK에너지(주)신광셀프주유소,부산 북구 덕천로 275 (만덕동),1769
(주)가온에너지 더힘대로주유소,부산 사상구 낙동대로 1274 (삼락동),1548
우리주유소 (주)시블링스,부산 사상구 백양대로 701 (덕포동),1559
광신석유(주)직영 가야대로주유소,부산 사상구 가야대로 395,1559
스마트주유소,부산 사상구 가야대로 377,1559
용마주유소,부산 사상구 가야대로 329,1559
에스알디㈜더리치주유소,부산 사상구 낙동대로 753 (엄궁동),1559
(주)지엠지 우경주유소,부산 사상구 백양대로 477 (주례동),1564
가락타운주유소,부산 사상구 낙동대로 730 (엄궁동),1564
(주)좋은기름나라새사상셀프주유소지점,부산 사상구 새벽로 154,1564
㈜덕양에너지직영 굿모닝주유소,부산 사상구 학감대로 70,1564
세원주유소,부산 사상구 학감대로 178,1564
원주유소,부산 사상구 백양대로 349 (주례동),1564
에스씨(주) 새문주유소,부산 사상구 학감대로 30 (학장동),1564
서부산IC주유소,부산 사상구 학감대로 170,1564
부영석유(주)도매주유소,부산 사상구 가야대로 10 (감전동),1564
엄궁주유소,부산 사상구 낙동대로 681,1564
성림주유소,부산 사상구 백양대로 480,1564
(주)젤코바,부산 사상구 가야대로 63,1564
(주)덕양에너지 직영 구덕산주유소,부산 사상구 학감대로 98 (학장동),1564
(주)호림에너지 호림주유소,부산 사상구 낙동대로 669 (엄궁동),1564
㈜제이와이비젼 명성주유소,부산 사상구 학감대로 220 (감전동),1565
구룡주유소,부산 사상구 가야대로 150 (학장동),1568
엔씨네트웍스(주)직영주유소,부산 사상구 사상로 105,1568
지에스칼텍스(주)강변주유소,부산 사상구 강변대로 412 (엄궁동),1574
